antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'vs_str_error'}),frozenset({'weigth_of_list_we'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),frozenset({'is_sorted'}),1.0,0.75,0.75,0.75,1.0,0.0,1.0,0.0
frozenset({'is_sorted'}),frozenset({'vs_str_error'}),0.75,1.0,0.75,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_we'}),frozenset({'vs_str_error'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_we'}),"frozenset({'more_positive_or_negative_e', 'vs_str_error'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})",frozenset({'more_positive_or_negative_e'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})",frozenset({'isEmpty'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})","frozenset({'is_sorted', 'more_positive_or_negative_e'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})","frozenset({'is_sorted', 'has_zeros'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'is_sorted', 'has_zeros', 'vs_str_error'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'isEmpty', 'vs_str_error'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})",frozenset({'is_sorted'}),0.5,0.75,0.25,0.5,0.6666666666666666,-0.125,0.5,-0.5
"frozenset({'vs_str_error', 'weigth_of_list_we'})","frozenset({'more_positive_or_negative_e', 'has_zeros'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'more_positive_or_negative_e', 'has_zeros', 'vs_str_error'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})",frozenset({'has_zeros'}),0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'has_zeros', 'vs_str_error'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'is_sorted', 'vs_str_error', 'more_positive_or_negative_e'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
frozenset({'weigth_of_list_we'}),"frozenset({'is_sorted', 'vs_str_error'})",0.5,0.75,0.25,0.5,0.6666666666666666,-0.125,0.5,-0.5
frozenset({'weigth_of_list_we'}),"frozenset({'is_sorted', 'vs_str_error', 'has_zeros', 'more_positive_or_negative_e'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'vs_str_error', 'weigth_of_list_we'})","frozenset({'is_sorted', 'has_zeros', 'more_positive_or_negative_e'})",0.5,0.25,0.25,0.5,2.0,0.125,1.5,1.0
"frozenset({'has_zeros', 'vs_str_error'})","frozenset({'is_sorted', 'more_positive_or_negative_e'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'weigth_of_list_we'})","frozenset({'has_zeros', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'has_zeros', 'weigth_of_list_we'})","frozenset({'more_positive_or_negative_e', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'has_zeros'})","frozenset({'vs_str_error', 'weigth_of_list_we'})",0.25,0.5,0.25,1.0,2.0,0.125,inf,0.6666666666666666
"frozenset({'more_positive_or_negative_e', 'vs_str_error'})","frozenset({'has_zeros', 'weigth_of_list_we'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'has_zeros', 'vs_str_error'})","frozenset({'more_positive_or_negative_e', 'weigth_of_list_we'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
frozenset({'has_zeros'}),"frozenset({'more_positive_or_negative_e', 'vs_str_error', 'weigth_of_list_we'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
frozenset({'more_positive_or_negative_e'}),"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_we'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_we'})",frozenset({'more_positive_or_negative_e'}),0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'is_sorted', 'more_positive_or_negative_e', 'weigth_of_list_we'})",frozenset({'vs_str_error'}),0.25,1.0,0.25,1.0,1.0,0.0,inf,0.0
"frozenset({'is_sorted', 'vs_str_error', 'weigth_of_list_we'})",frozenset({'more_positive_or_negative_e'}),0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'vs_str_error', 'weigth_of_list_we'})",frozenset({'is_sorted'}),0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,0.3333333333333333
"frozenset({'is_sorted', 'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'weigth_of_list_we'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,0.6666666666666666
"frozenset({'is_sorted', 'weigth_of_list_we'})","frozenset({'more_positive_or_negative_e', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'weigth_of_list_we'})","frozenset({'is_sorted', 'vs_str_error'})",0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,0.3333333333333333
"frozenset({'more_positive_or_negative_e', 'has_zeros', 'vs_str_error'})",frozenset({'weigth_of_list_we'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,0.6666666666666666
"frozenset({'is_sorted', 'has_zeros', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.25,1.0,0.25,1.0,1.0,0.0,inf,0.0
"frozenset({'more_positive_or_negative_e', 'vs_str_error', 'weigth_of_list_we'})",frozenset({'has_zeros'}),0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'is_sorted', 'more_positive_or_negative_e'})","frozenset({'has_zeros', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
frozenset({'has_zeros'}),"frozenset({'is_sorted', 'vs_str_error', 'more_positive_or_negative_e'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'is_sorted', 'has_zeros', 'weigth_of_list_we'})",frozenset({'vs_str_error'}),0.25,1.0,0.25,1.0,1.0,0.0,inf,0.0
"frozenset({'is_sorted', 'vs_str_error', 'weigth_of_list_we'})",frozenset({'has_zeros'}),0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'vs_str_error'})","frozenset({'is_sorted', 'has_zeros'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'more_positive_or_negative_e', 'has_zeros'})","frozenset({'is_sorted', 'vs_str_error'})",0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,0.3333333333333333
"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_we'})",frozenset({'is_sorted'}),0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,0.3333333333333333
"frozenset({'is_sorted', 'has_zeros'})","frozenset({'more_positive_or_negative_e', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'is_sorted', 'has_zeros', 'vs_str_error'})",frozenset({'weigth_of_list_we'}),0.25,0.5,0.25,1.0,2.0,0.125,inf,0.6666666666666666
"frozenset({'is_sorted', 'weigth_of_list_we'})","frozenset({'has_zeros', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
frozenset({'more_positive_or_negative_e'}),"frozenset({'is_sorted', 'has_zeros', 'vs_str_error'})",0.25,0.25,0.25,1.0,4.0,0.1875,inf,1.0
"frozenset({'has_zeros', 'weigth_of_list_we'})","frozenset({'is_sorted', 'vs_str_error'})",0.25,0.75,0.25,1.0,1.3333333333333333,0.0625,inf,0.3333333333333333
